TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Mega Charizard X ex 125/094 Phantasmal Flames | Custom Pokémon Artwork Display Slab","Protect and display your full art Mega Charizard X ex from Phantasmal Flames with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,3,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/46c3fa/7568765220/il_fullxfull.7568765220_3seu.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Greninja ex 214/167 Twilight Masquerade | Custom Pokémon Artwork Display Slab","Protect and display your full art Greninja ex from Twilight Masquerade with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,3,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/78839e/7627522036/il_fullxfull.7627522036_3ic0.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Entei EX 103/108 Dark Explorers | Custom Pokémon Artwork Display Slab","Protect and display your full art Entei EX from Dark Explorers with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,3,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/f7c35b/7832211979/il_fullxfull.7832211979_5oco.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Roaring Moon 162/131 Prismatic Evolution Promo | Custom Pokémon Artwork Display Slab","Protect and display your full art Roaring Moon ex from Prismatic Evolution with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,3,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector","Acrylic Screwdown Case,Thick Paper,Glossy Paper,Photo Paper",https://i.etsystatic.com/56175595/r/il/9a961c/7769726524/il_fullxfull.7769726524_rfy4.jpg,https://i.etsystatic.com/56175595/r/il/fd4da5/6822695557/il_fullxfull.6822695557_cfu0.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Appletun 211/191 Surging Sparks | Custom Pokémon Artwork Display Slab","Protect and display your full art Appletun from Surging Sparks with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,4,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/0b7c17/7761125129/il_fullxfull.7761125129_czln.jpg,https://i.etsystatic.com/56175595/r/il/e5e37a/6774119924/il_fullxfull.6774119924_ah1o.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Pikachu ex 276/217 Ascended Heroes | Custom Pokémon Artwork Display Slab","Protect and display your full art Pikachu ex from Ascended Heroes with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,4,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/65bda8/7718156433/il_fullxfull.7718156433_9yqf.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Mega Feraligatr ex 274/217 Ascended Heroes | Custom Pokémon Artwork Display Slab","Protect and display your full art Mega Feraligatr ex from Ascended Heroes with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,3,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector",,https://i.etsystatic.com/56175595/r/il/3f7bdf/7675698002/il_fullxfull.7675698002_1k2l.jpg,https://i.etsystatic.com/56175595/r/il/b6f2c8/6774676166/il_fullxfull.6774676166_3won.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Zeraora V 166/198 Chilling Reign | Custom Pokémon Artwork Display Slab","Protect and display your full art Zeraora V from Chilling Reign with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,5,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector","Acrylic,Acrylic Screwdown Case,Thick Paper,Glossy Paper,Photo Paper",https://i.etsystatic.com/56175595/r/il/c2feb6/6749438083/il_fullxfull.6749438083_ktm8.jpg,https://i.etsystatic.com/56175595/r/il/b446c8/6774683046/il_fullxfull.6774683046_9u4a.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Glaceon ex 206/187 Terastal Festival / Prismatic Evolutions | Custom Pokémon Artwork Display Slab","Protect and display your full art Glaceon ex from Terastal Festival / Prismatic Evolutions with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,5,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector","Acrylic,Acrylic Screwdown Case,Thick Paper,Glossy Paper,Photo Paper",https://i.etsystatic.com/56175595/r/il/b4d883/6701399512/il_fullxfull.6701399512_14oy.jpg,https://i.etsystatic.com/56175595/r/il/bbf2cc/6822659135/il_fullxfull.6822659135_svk3.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
"Jolteon ex 209/187 Terastal Festival / Prismatic Evolutions | Custom Pokémon Artwork Display Slab","Protect and display your full art Jolteon ex from Terastal Festival / Prismatic Evolutions with this premium extended art slab! Each slab features a custom-designed and hand-cut art insert, printed on professional durable, glossy paper. Perfect for showcasing your favorite card while preserving its value!

Note: Card is not included.

Thank you for supporting small businesses!",28.74,USD,5,"Pokémon,Pokemon,Collectibles,Custom_Card_Display,Pokemon_Card_Art,Trading_Card_Frame,Pokémon_Art_Slab,Slab,Custom_Art,Extended_Art_Slab,Extended_Pokemon_Art,Screwdown_Slab,Card_Protector","Acrylic,Acrylic Screwdown Case,Thick Paper,Glossy Paper,Photo Paper",https://i.etsystatic.com/56175595/r/il/94b245/6749431615/il_fullxfull.6749431615_tkhv.jpg,https://i.etsystatic.com/56175595/r/il/e1028f/6774644202/il_fullxfull.6774644202_n4kx.jpg,,,,,,,,,"Custom Property",Style,"Art + Screwdown Case,Art Print Only",,,,
